,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.10909090909090909,0.42857142857142855,0.17391304347826086,14.0
FractureDislocation,0.1643835616438356,0.631578947368421,0.2608695652173913,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.08333333333333333,0.08333333333333333,0.08333333333333333,12.0
accuracy,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.1357142857142857
macro avg,0.0356807804068078,0.11434837092731828,0.05181159420289855,140.0
weighted avg,0.040361145703611455,0.1357142857142857,0.059937888198757755,140.0
