filepath,class,split,pca1,pca2,cluster
dataset/AvulsionFracture/Test/000002_png.rf.c3e00ebc2db78bc94e644c3f6605dad0.jpg,AvulsionFracture,Test,62.868454,-22.403534,6
dataset/AvulsionFracture/Test/05cc2e0302957e0ad27edb6b9ffbc2_jumbo_jpg.rf.c15eb3758845b639f3aaba73c373501d.jpg,AvulsionFracture,Test,-49.9577,4.0395803,2
dataset/AvulsionFracture/Test/1-s2-0-S0899707114002836-gr2_jpg.rf.bb8ed4dee892edbb760f6ce687d74ba5.jpg,AvulsionFracture,Test,-17.612402,-11.912659,2
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a35a0cac6f45.jpg,AvulsionFracture,Test,45.652264,23.061975,6
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a3e1e25a0cac6f45.jpg,AvulsionFracture,Test,31.052094,19.176523,3
dataset/AvulsionFracture/Test/1b62e6fbfbc5a2f70c6af413189cfc82_jpg.rf.2761e933cc6d206308877cccaf0642b2.jpg,AvulsionFracture,Test,37.863377,-3.4877334,6
dataset/AvulsionFracture/Test/220px-Avulsion_fracture_of_tibial_tuberosity2C_annotated_jpg.rf.aac7ac1f6ad2f7a822ee729f39b750af.jpg,AvulsionFracture,Test,33.536892,9.222262,3
dataset/AvulsionFracture/Test/31446tn_jpg.rf.fd1466bd9c9a7d604dc3e782f87b84d6.jpg,AvulsionFracture,Test,-6.270903,24.537853,2
dataset/AvulsionFracture/Test/389382_jpg.rf.8cb98ee798766a2d3f6a76279ba5d0d9.jpg,AvulsionFracture,Test,8.880153,-12.152478,1
dataset/AvulsionFracture/Test/5c7fec45769db28bdd107336f19004336689a4fb804b37af3096741f2879ff02_jumbo_jpeg.rf.68a4d14a09ed5baf1f8e1c1957ee5a01.jpg,AvulsionFracture,Test,-25.760834,-3.8419034,2
dataset/AvulsionFracture/Test/60683ca7a8a5848feda86d15_acl-avulsion-fracture-1_jpg.rf.17e17d797643e92164cc9825dc530399.jpg,AvulsionFracture,Test,-63.80868,10.877092,8
dataset/AvulsionFracture/Test/9896089d1b31b0ba0158dc33122899_jumbo_jpeg.rf.d5e6b871460129728d2506e55476d496.jpg,AvulsionFracture,Test,24.194283,34.045307,5
dataset/AvulsionFracture/Test/9dcddacffaff8689cc1e9cedbe76a5_jumbo_jpeg.rf.7259a238161cf03dca23a3dd5369e0b1.jpg,AvulsionFracture,Test,-29.70422,13.921828,7
dataset/AvulsionFracture/Test/avulsionlessertrochanter01jakpelvis15yo_jpg.rf.075c733923f27bd4611acf064a41a4e3.jpg,AvulsionFracture,Test,18.881432,-24.402098,4
dataset/AvulsionFracture/Train/12891_2019_2585_Fig5_HTML_png.rf.e7f1f0cb0b6723cde402057336779890.jpg,AvulsionFracture,Train,-34.135666,-27.754438,8
dataset/AvulsionFracture/Train/2-Figure1-1_png.rf.d9c1a18069444475adbb477d440ce0e9.jpg,AvulsionFracture,Train,-7.3834195,-10.621911,2
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf.4e4f1d462790773a110b4171d25a.jpg,AvulsionFracture,Train,-13.548893,30.560316,7
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf90773a110b4171d25a.jpg,AvulsionFracture,Train,-7.0357842,-23.189074,0
dataset/AvulsionFracture/Train/697306b5c3755dd70645ac1a714fce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,35.865067,14.435046,5
dataset/AvulsionFracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.1b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,27.07958,6.5894027,5
dataset/AvulsionFracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,29.867874,22.6548,5
dataset/AvulsionFracture/Train/800px-Left_lateral_malleolus_avulsion_fracture_detail_jpg.rf.9465bfeae560e0d37a57e6096249c030.jpg,AvulsionFracture,Train,16.7271,13.708626,5
dataset/AvulsionFracture/Train/94f6a-pclavulsion1a_png.rf.621b9fb0ecda5666f169e06b88d35b9e.jpg,AvulsionFracture,Train,-10.478866,-10.462485,2
