filepath,class,split,cluster,tsne1,tsne2
dataset/AvulsionFracture/Test/000002_png.rf.c3e00ebc2db78bc94e644c3f6605dad0.jpg,AvulsionFracture,Test,6,37.12478,-9.353589
dataset/AvulsionFracture/Test/05cc2e0302957e0ad27edb6b9ffbc2_jumbo_jpg.rf.c15eb3758845b639f3aaba73c373501d.jpg,AvulsionFracture,Test,2,-31.302952,9.631004
dataset/AvulsionFracture/Test/1-s2-0-S0899707114002836-gr2_jpg.rf.bb8ed4dee892edbb760f6ce687d74ba5.jpg,AvulsionFracture,Test,2,-18.891853,16.919394
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a35a0cac6f45.jpg,AvulsionFracture,Test,6,29.645115,-22.424412
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a3e1e25a0cac6f45.jpg,AvulsionFracture,Test,3,12.1656065,-25.932922
dataset/AvulsionFracture/Test/1b62e6fbfbc5a2f70c6af413189cfc82_jpg.rf.2761e933cc6d206308877cccaf0642b2.jpg,AvulsionFracture,Test,6,18.38898,-7.885634
dataset/AvulsionFracture/Test/220px-Avulsion_fracture_of_tibial_tuberosity2C_annotated_jpg.rf.aac7ac1f6ad2f7a822ee729f39b750af.jpg,AvulsionFracture,Test,3,13.74565,-25.682142
dataset/AvulsionFracture/Test/31446tn_jpg.rf.fd1466bd9c9a7d604dc3e782f87b84d6.jpg,AvulsionFracture,Test,2,-1.4162198,-4.183689
dataset/AvulsionFracture/Test/389382_jpg.rf.8cb98ee798766a2d3f6a76279ba5d0d9.jpg,AvulsionFracture,Test,1,13.940401,11.314143
dataset/AvulsionFracture/Test/5c7fec45769db28bdd107336f19004336689a4fb804b37af3096741f2879ff02_jumbo_jpeg.rf.68a4d14a09ed5baf1f8e1c1957ee5a01.jpg,AvulsionFracture,Test,2,-23.735933,-26.532898
dataset/AvulsionFracture/Test/60683ca7a8a5848feda86d15_acl-avulsion-fracture-1_jpg.rf.17e17d797643e92164cc9825dc530399.jpg,AvulsionFracture,Test,8,-43.899063,-4.2232723
dataset/AvulsionFracture/Test/9896089d1b31b0ba0158dc33122899_jumbo_jpeg.rf.d5e6b871460129728d2506e55476d496.jpg,AvulsionFracture,Test,5,8.099252,-24.379032
dataset/AvulsionFracture/Test/9dcddacffaff8689cc1e9cedbe76a5_jumbo_jpeg.rf.7259a238161cf03dca23a3dd5369e0b1.jpg,AvulsionFracture,Test,7,-29.40292,-1.9180931
dataset/AvulsionFracture/Test/avulsionlessertrochanter01jakpelvis15yo_jpg.rf.075c733923f27bd4611acf064a41a4e3.jpg,AvulsionFracture,Test,4,16.581501,25.855305
dataset/AvulsionFracture/Train/12891_2019_2585_Fig5_HTML_png.rf.e7f1f0cb0b6723cde402057336779890.jpg,AvulsionFracture,Train,8,-32.174507,17.402927
dataset/AvulsionFracture/Train/2-Figure1-1_png.rf.d9c1a18069444475adbb477d440ce0e9.jpg,AvulsionFracture,Train,2,-22.686823,24.339558
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf.4e4f1d462790773a110b4171d25a.jpg,AvulsionFracture,Train,7,-23.5433,-16.680239
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf90773a110b4171d25a.jpg,AvulsionFracture,Train,0,-8.869884,17.292927
dataset/AvulsionFracture/Train/697306b5c3755dd70645ac1a714fce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,5,18.003696,-9.433969
dataset/AvulsionFracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.1b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,5,11.847361,-11.364211
dataset/AvulsionFracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,5,11.193762,-10.529881
dataset/AvulsionFracture/Train/800px-Left_lateral_malleolus_avulsion_fracture_detail_jpg.rf.9465bfeae560e0d37a57e6096249c030.jpg,AvulsionFracture,Train,5,0.4922684,-11.165849
dataset/AvulsionFracture/Train/94f6a-pclavulsion1a_png.rf.621b9fb0ecda5666f169e06b88d35b9e.jpg,AvulsionFracture,Train,2,-16.259035,17.01121
dataset/AvulsionFracture/Train/9781604064797_ch092_f001_jpg.rf.89e30c33eebe51177be42787ddaa7745.jpg,AvulsionFracture,Train,0,-6.922882,-15.889494
dataset/AvulsionFracture/Train/F1-large2_jpg.rf.c2d3078f808a8a85ce1563a8b857820d.jpg,AvulsionFracture,Train,1,6.6216984,39.68822
dataset/AvulsionFracture/Train/F1-large4_jpg.rf.4252b8d03c32b5e5299279de5619cc.jpg,AvulsionFracture,Train,7,-26.990326,-10.452419
dataset/AvulsionFracture/Train/F1-large4_jpg.rf.4252b8d03c32b5e529927f9de5619cc.jpg,AvulsionFracture,Train,2,-16.107264,13.999061
dataset/AvulsionFracture/Train/F1-large_jpg.rf.a6f3a67ddd8ce10a037193d8121b5bea.jpg,AvulsionFracture,Train,5,9.126972,2.4247115
dataset/AvulsionFracture/Train/FTCjoRnWQAMETYF_jpg.rf.662d6aa8680d248cac375a7256e0fa3f.jpg,AvulsionFracture,Train,6,36.407528,-5.510786
