filepath,class,split,width,height,readable,is_duplicate,is_size_outlier,file_size_kb,md5
dataset/AvulsionFracture/Test/000002_png.rf.c3e00ebc2db78bc94e644c3f6605dad0.jpg,AvulsionFracture,Test,640,640,True,False,False,28.84,35f35ef7ff77a754b0424ba244624b71
dataset/AvulsionFracture/Test/05cc2e0302957e0ad27edb6b9ffbc2_jumbo_jpg.rf.c15eb3758845b639f3aaba73c373501d.jpg,AvulsionFracture,Test,640,640,True,False,False,24.94,822b34f85916f2c71eb4e97ce8d7bd89
dataset/AvulsionFracture/Test/1-s2-0-S0899707114002836-gr2_jpg.rf.bb8ed4dee892edbb760f6ce687d74ba5.jpg,AvulsionFracture,Test,351,526,True,False,False,41.59,f3d65ad20464a2ea9e97901a95437acc
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a35a0cac6f45.jpg,AvulsionFracture,Test,286,603,True,False,False,18.02,add64921c4ae455b20e1c7449855ef16
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a3e1e25a0cac6f45.jpg,AvulsionFracture,Test,219,378,True,False,False,32.84,45d1e7a96370cdc6917490bac5224696
dataset/AvulsionFracture/Test/1b62e6fbfbc5a2f70c6af413189cfc82_jpg.rf.2761e933cc6d206308877cccaf0642b2.jpg,AvulsionFracture,Test,436,583,True,False,False,57.18,094a7ef8a2de71e929219c95b8c7fbd2
dataset/AvulsionFracture/Test/220px-Avulsion_fracture_of_tibial_tuberosity2C_annotated_jpg.rf.aac7ac1f6ad2f7a822ee729f39b750af.jpg,AvulsionFracture,Test,543,581,True,False,False,71.18,296a72ccd6d03bf074d3fb2b54abe8fd
dataset/AvulsionFracture/Test/31446tn_jpg.rf.fd1466bd9c9a7d604dc3e782f87b84d6.jpg,AvulsionFracture,Test,640,640,True,False,False,18.9,4ee78e33c31e40d1fb78f24c4686cac6
dataset/AvulsionFracture/Test/389382_jpg.rf.8cb98ee798766a2d3f6a76279ba5d0d9.jpg,AvulsionFracture,Test,196,552,True,False,False,41.28,5d5eaf0dbd38a317c06f7156b8240e56
dataset/AvulsionFracture/Test/5c7fec45769db28bdd107336f19004336689a4fb804b37af3096741f2879ff02_jumbo_jpeg.rf.68a4d14a09ed5baf1f8e1c1957ee5a01.jpg,AvulsionFracture,Test,640,640,True,False,False,29.37,fb3ef9c3a751e51f131326ee8d94a264
dataset/AvulsionFracture/Test/60683ca7a8a5848feda86d15_acl-avulsion-fracture-1_jpg.rf.17e17d797643e92164cc9825dc530399.jpg,AvulsionFracture,Test,640,566,True,False,False,43.03,eef32dc808992d09c5fd02ec5fd107bc
dataset/AvulsionFracture/Test/9896089d1b31b0ba0158dc33122899_jumbo_jpeg.rf.d5e6b871460129728d2506e55476d496.jpg,AvulsionFracture,Test,380,571,True,False,False,50.35,2cf30ee3c74aa723d22fc7b58d9dfd15
dataset/AvulsionFracture/Test/9dcddacffaff8689cc1e9cedbe76a5_jumbo_jpeg.rf.7259a238161cf03dca23a3dd5369e0b1.jpg,AvulsionFracture,Test,640,640,True,False,False,29.93,f5cf7192f93a37f4f03ee12b450438c5
dataset/AvulsionFracture/Test/avulsionlessertrochanter01jakpelvis15yo_jpg.rf.075c733923f27bd4611acf064a41a4e3.jpg,AvulsionFracture,Test,640,640,True,False,False,29.52,a0185c9badc88e5723654ad44da3c6bb
dataset/AvulsionFracture/Train/12891_2019_2585_Fig5_HTML_png.rf.e7f1f0cb0b6723cde402057336779890.jpg,AvulsionFracture,Train,205,586,True,False,False,30.84,5eafa7eee6488dc70db59991d06dbc1e
dataset/AvulsionFracture/Train/2-Figure1-1_png.rf.d9c1a18069444475adbb477d440ce0e9.jpg,AvulsionFracture,Train,172,585,True,False,False,32.52,0348b50e9ca152e082da4f5e4a07124a
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf.4e4f1d462790773a110b4171d25a.jpg,AvulsionFracture,Train,320,640,True,False,False,20.43,dc0f1b85917728bd4be4fa4943aa5633
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf62790773a110b4171d25a.jpg,AvulsionFracture,Train,320,640,True,True,False,20.43,dc0f1b85917728bd4be4fa4943aa5633
dataset/AvulsionFracture/Train/35765-galleyfig1a_jpeg.rf90773a110b4171d25a.jpg,AvulsionFracture,Train,245,640,True,False,False,17.59,8bb44e3327a09e20e9488111766d0e96
dataset/AvulsionFracture/Train/697306b5c3755dd70645ac1a714fce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,177,640,True,False,False,38.16,f9f85c8bff088a8b09da014196992a9e
dataset/AvulsionFracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.1b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,219,640,True,False,False,24.76,7e875e8b078c52d06bbe81d8f03c338f
dataset/AvulsionFracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,AvulsionFracture,Train,243,640,True,False,False,22.16,62a6041f35a3f3981fead99406708017
dataset/AvulsionFracture/Train/800px-Left_lateral_malleolus_avulsion_fracture_detail_jpg.rf.9465bfeae560e0d37a57e6096249c030.jpg,AvulsionFracture,Train,468,640,True,False,False,68.87,d72b22bd58242024f282dc3b0dc501a7
dataset/AvulsionFracture/Train/94f6a-pclavulsion1a_png.rf.621b9fb0ecda5666f169e06b88d35b9e.jpg,AvulsionFracture,Train,378,622,True,False,False,47.64,823f8ba564a0fd19bf64c49131adce09
