,precision,recall,f1-score,support
AvulsionFracture,0.15384615384615385,0.14285714285714285,0.14814814814814814,14.0
ComminutedFracture,0.16279069767441862,0.5,0.24561403508771928,14.0
FractureDislocation,0.22413793103448276,0.6842105263157895,0.33766233766233766,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.4166666666666667,0.2777777777777778,0.3333333333333333,18.0
SpiralFracture,0.2727272727272727,0.25,0.2608695652173913,12.0
accuracy,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
macro avg,0.12301687219489947,0.18548454469507097,0.13256274194489298,140.0
weighted avg,0.13903045631193187,0.21428571428571427,0.15041921259639468,140.0
