,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.1,0.35714285714285715,0.15625,14.0
FractureDislocation,0.1518987341772152,0.631578947368421,0.24489795918367346,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.09090909090909091,0.08333333333333333,0.08695652173913043,12.0
accuracy,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.12857142857142856
macro avg,0.03428078250863061,0.10720551378446115,0.04881044809228039,140.0
weighted avg,0.03840703600197271,0.12857142857142856,0.056314567752566866,140.0
