,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.09375,0.21428571428571427,0.13043478260869565,14.0
FractureDislocation,0.16176470588235295,0.5789473684210527,0.25287356321839083,19.0
GreenstickFracture,0.1111111111111111,0.0625,0.08,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.21739130434782608,0.2777777777777778,0.24390243902439024,18.0
SpiralFracture,0.375,0.25,0.3,12.0
accuracy,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428
macro avg,0.09590171213412901,0.13835108604845447,0.10072107848514766,140.0
weighted avg,0.10412036191288108,0.16428571428571428,0.11357806114364422,140.0
