,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.0,0.0,0.0,14.0
FractureDislocation,0.0,0.0,0.0,19.0
GreenstickFracture,0.11428571428571428,1.0,0.20512820512820512,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.0,0.0,0.0,12.0
accuracy,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428
macro avg,0.011428571428571429,0.1,0.020512820512820513,140.0
weighted avg,0.013061224489795917,0.11428571428571428,0.023443223443223443,140.0
