,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,0,0,0,14,0,0,0,0,0,0
ComminutedFracture,0,0,0,14,0,0,0,0,0,0
FractureDislocation,0,0,0,19,0,0,0,0,0,0
GreenstickFracture,0,0,0,16,0,0,0,0,0,0
HairlineFracture,0,0,0,10,0,0,0,0,0,0
ImpactedFracture,0,0,0,9,0,0,0,0,0,0
LongitudinalFracture,0,0,0,12,0,0,0,0,0,0
ObliqueFracture,0,0,0,16,0,0,0,0,0,0
PathologicalFracture,0,0,0,18,0,0,0,0,0,0
SpiralFracture,0,0,0,12,0,0,0,0,0,0
