,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.10204081632653061,0.35714285714285715,0.15873015873015872,14.0
FractureDislocation,0.18181818181818182,0.631578947368421,0.2823529411764706,19.0
GreenstickFracture,1.0,0.0625,0.11764705882352941,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.2,0.0625,0.09523809523809523,16.0
PathologicalFracture,0.2,0.16666666666666666,0.18181818181818182,18.0
SpiralFracture,0.25,0.08333333333333333,0.125,12.0
accuracy,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428
macro avg,0.19338589981447124,0.1363721804511278,0.09607864357864357,140.0
weighted avg,0.219165120593692,0.16428571428571428,0.1126129845877745,140.0
