,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.19230769230769232,0.38461538461538464,0.2564102564102564,13.0
FractureDislocation,0.18032786885245902,0.5789473684210527,0.275,19.0
GreenstickFracture,0.22727272727272727,0.3125,0.2631578947368421,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.18181818181818182,0.2222222222222222,0.2,18.0
SpiralFracture,0.625,0.4166666666666667,0.5,12.0
accuracy,0.2158273381294964,0.2158273381294964,0.2158273381294964,0.2158273381294964
macro avg,0.14067264702510604,0.19149516419253262,0.14945681511470985,139.0
weighted avg,0.14629726918911967,0.2158273381294964,0.1609270478354159,139.0
