,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.14285714285714285,0.42857142857142855,0.21428571428571427,14.0
FractureDislocation,0.16363636363636364,0.47368421052631576,0.24324324324324326,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.2727272727272727,0.3333333333333333,0.3,18.0
SpiralFracture,0.3333333333333333,0.5833333333333334,0.42424242424242425,12.0
accuracy,0.2,0.2,0.2,0.2
macro avg,0.09125541125541126,0.18189223057644108,0.11817713817713818,140.0
weighted avg,0.10012987012987012,0.2,0.12937521937521937,140.0
