,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,0,5,6,0,0,0,0,0,2,1
ComminutedFracture,0,6,6,0,0,0,0,0,0,2
FractureDislocation,0,4,9,0,0,0,0,0,2,4
GreenstickFracture,0,8,4,0,0,0,0,0,4,0
HairlineFracture,0,2,8,0,0,0,0,0,0,0
ImpactedFracture,0,2,5,0,0,0,0,0,1,1
LongitudinalFracture,0,6,3,0,0,0,0,0,1,2
ObliqueFracture,0,6,6,0,0,0,0,0,3,1
PathologicalFracture,0,1,8,0,0,0,0,0,6,3
SpiralFracture,0,2,0,0,0,0,0,0,3,7
