,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.11538461538461539,0.42857142857142855,0.18181818181818182,14.0
FractureDislocation,0.2,0.5789473684210527,0.2972972972972973,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.15,0.16666666666666666,0.15789473684210525,18.0
SpiralFracture,0.5,0.4166666666666667,0.45454545454545453,12.0
accuracy,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858
macro avg,0.09653846153846155,0.15908521303258147,0.1091555670503039,140.0
weighted avg,0.10082417582417583,0.17857142857142858,0.11779109937004674,140.0
