,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.11538461538461539,0.21428571428571427,0.15,14.0
FractureDislocation,0.13636363636363635,0.47368421052631576,0.21176470588235294,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.07142857142857142,0.1,0.08333333333333333,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.2777777777777778,0.2777777777777778,0.2777777777777778,18.0
SpiralFracture,0.35714285714285715,0.4166666666666667,0.38461538461538464,12.0
accuracy,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428
macro avg,0.09580974580974581,0.14824143692564745,0.11074912016088487,140.0
weighted avg,0.10147352647352648,0.16428571428571428,0.11837319543201898,140.0
