,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,0,3,6,1,3,0,0,0,0,1
ComminutedFracture,0,3,9,0,0,0,0,0,1,1
FractureDislocation,1,3,9,0,3,0,0,0,1,2
GreenstickFracture,0,6,7,0,1,0,0,0,2,0
HairlineFracture,0,0,9,0,1,0,0,0,0,0
ImpactedFracture,0,2,6,0,0,0,0,0,0,1
LongitudinalFracture,0,7,2,0,2,0,0,0,1,0
ObliqueFracture,0,1,8,0,4,0,0,0,2,1
PathologicalFracture,0,0,10,0,0,0,0,0,5,3
SpiralFracture,0,1,0,0,0,0,0,0,6,5
