,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.0,0.0,0.0,14.0
FractureDislocation,0.1357142857142857,1.0,0.2389937106918239,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.0,0.0,0.0,12.0
accuracy,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.1357142857142857
macro avg,0.013571428571428571,0.1,0.02389937106918239,140.0
weighted avg,0.018418367346938774,0.1357142857142857,0.032434860736747534,140.0
