,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,0,4,9,0,0,0,0,0,0,1
ComminutedFracture,0,6,6,0,0,0,0,0,0,2
FractureDislocation,0,3,12,0,0,0,0,0,0,4
GreenstickFracture,0,5,10,0,0,0,0,0,0,1
HairlineFracture,0,1,9,0,0,0,0,0,0,0
ImpactedFracture,0,3,6,0,0,0,0,0,0,0
LongitudinalFracture,0,6,4,0,0,0,0,0,0,2
ObliqueFracture,0,4,10,0,0,0,0,0,0,2
PathologicalFracture,0,4,10,0,0,0,0,0,0,4
SpiralFracture,0,2,2,0,0,0,0,0,1,7
