,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.125,0.7857142857142857,0.21568627450980393,14.0
FractureDislocation,0.06666666666666667,0.05263157894736842,0.058823529411764705,19.0
GreenstickFracture,0.3,0.375,0.3333333333333333,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.2857142857142857,0.125,0.17391304347826086,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.0,0.0,0.0,12.0
accuracy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
macro avg,0.07773809523809523,0.13383458646616542,0.07817561807331629,140.0
weighted avg,0.08848639455782313,0.14285714285714285,0.08752283522104494,140.0
