,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,0,7,3,3,0,0,0,1,0,0
ComminutedFracture,0,11,1,0,1,0,0,0,0,1
FractureDislocation,0,12,1,1,4,0,0,1,0,0
GreenstickFracture,0,8,1,6,1,0,0,0,0,0
HairlineFracture,0,6,1,3,0,0,0,0,0,0
ImpactedFracture,0,7,2,0,0,0,0,0,0,0
LongitudinalFracture,0,9,0,1,0,0,0,2,0,0
ObliqueFracture,0,9,2,3,0,0,0,2,0,0
PathologicalFracture,0,11,2,2,2,0,0,1,0,0
SpiralFracture,0,8,2,1,1,0,0,0,0,0
