,precision,recall,f1-score,support
AvulsionFracture,0.047619047619047616,0.14285714285714285,0.07142857142857142,14.0
ComminutedFracture,0.125,0.07142857142857142,0.09090909090909091,14.0
FractureDislocation,0.15151515151515152,0.2631578947368421,0.19230769230769232,19.0
GreenstickFracture,0.15789473684210525,0.375,0.2222222222222222,16.0
HairlineFracture,0.18181818181818182,0.2,0.19047619047619047,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,1.0,0.05555555555555555,0.10526315789473684,18.0
SpiralFracture,0.14285714285714285,0.08333333333333333,0.10526315789473684,12.0
accuracy,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.12857142857142856
macro avg,0.1806704260651629,0.11913324979114452,0.0977870083133241,140.0
weighted avg,0.20967312762425547,0.12857142857142856,0.10389132588380709,140.0
