,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,2,2,5,4,1,0,0,0,0,0
ComminutedFracture,7,1,1,2,2,0,0,0,0,1
FractureDislocation,7,1,5,5,1,0,0,0,0,0
GreenstickFracture,6,0,4,6,0,0,0,0,0,0
HairlineFracture,4,1,3,0,2,0,0,0,0,0
ImpactedFracture,4,0,2,1,1,0,0,0,0,1
LongitudinalFracture,1,2,1,7,0,0,0,0,0,1
ObliqueFracture,4,0,4,5,3,0,0,0,0,0
PathologicalFracture,6,0,6,1,1,0,0,0,1,3
SpiralFracture,1,1,2,7,0,0,0,0,0,1
