model,milestone,test_accuracy,macro_f1,total_params,training_time,backbone
CNN_02_Base_GAP,M1,0.12857142857142856,0.04881044809228039,206634,48.80735898017883,
CNN_03_Deeper_GAP,M1,0.16428571428571428,0.10072107848514766,780714,89.97024297714233,
CNN_04_Deeper_GAP_BatchNorm,M1,0.11428571428571428,0.020512820512820513,783530,47.559261322021484,
CNN_05_Deeper_GAP_Augmentation,M1,0.16428571428571428,0.09607864357864357,780714,118.50857901573181,
CNN_06_Deeper_GAP_StrongerDropout_Gray,M1,0.2158273381294964,0.14945681511470985,780714,99.80383515357971,
CNN_07_Wider_GAP_StrongerDropout_Gray,M1,0.2,0.11817713817713818,2655178,208.8656189441681,
CNN_08_EfficientSmall_Gray,M1,0.17857142857142858,0.1091555670503039,381930,118.7295880317688,
CNN_09_GlobalMaxPool_Gray,M1,0.16428571428571428,0.11074912016088487,780714,84.73474502563477,
CNN_10_LeakyReLU_Gray,M1,0.17857142857142858,0.0878191911181602,780714,109.440762758255,
CNN_10_Combined_Strategy,M1,0.1357142857142857,0.02389937106918239,783530,125.97751092910767,
CNN_11_Combined_AugBN_Gray,M1,0.14285714285714285,0.07817561807331629,783530,105.81630897521973,
CNN_12_StridedConv_Flatten_BN_LeakyReLU,M1,0.12857142857142856,0.0977870083133241,1082954,20.210147857666016,
CNN_13_StridedConv_ReducedFlatten_BN_LeakyReLU,M1,0.16428571428571428,0.08073082343812497,2596874,14.575414180755615,
VGG-16 (TL),M2,0.2857142857142857,0.26978329527070943,14848586,81.50061416625977,vgg16
ResNet-50 (TL),M2,0.30714285714285716,0.22961199003881932,24114826,68.62118077278137,resnet50
EfficientNetB0 (TL),M2,0.3357142857142857,0.2953689568477296,4380077,63.329365253448486,efficientnetb0
Inception v3 (TL),M2,0.42142857142857143,0.3798239594120601,22857002,646.6401748657227,inception_v3
