,precision,recall,f1-score,support
AvulsionFracture,0.4166666666666667,0.7142857142857143,0.5263157894736842,14.0
ComminutedFracture,0.4,0.7142857142857143,0.5128205128205128,14.0
FractureDislocation,0.42857142857142855,0.3157894736842105,0.36363636363636365,19.0
GreenstickFracture,0.5789473684210527,0.6875,0.6285714285714286,16.0
HairlineFracture,0.14285714285714285,0.2,0.16666666666666666,10.0
ImpactedFracture,0.36363636363636365,0.4444444444444444,0.4,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.2857142857142857,0.125,0.17391304347826086,16.0
PathologicalFracture,0.5,0.5,0.5,18.0
SpiralFracture,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
accuracy,0.42142857142857143,0.42142857142857143,0.42142857142857143,0.42142857142857143
macro avg,0.38306789701526545,0.411797201336675,0.3798239594120601,140.0
weighted avg,0.3977393158220226,0.42142857142857143,0.39199433453111127,140.0
