original_filepath,processed_filepath,class,final_split,success
dataset/AvulsionFracture/Test/000002_png.rf.c3e00ebc2db78bc94e644c3f6605dad0.jpg,dataset_processed/test/AvulsionFracture/00000_000002_png.rf.c3e00ebc2db78bc94e644c3f6605dad0.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/05cc2e0302957e0ad27edb6b9ffbc2_jumbo_jpg.rf.c15eb3758845b639f3aaba73c373501d.jpg,dataset_processed/test/AvulsionFracture/00001_05cc2e0302957e0ad27edb6b9ffbc2_jumbo_jpg.rf.c15eb3758845b639f3aaba73c373501d.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/1-s2-0-S0899707114002836-gr2_jpg.rf.bb8ed4dee892edbb760f6ce687d74ba5.jpg,dataset_processed/test/AvulsionFracture/00002_1-s2-0-S0899707114002836-gr2_jpg.rf.bb8ed4dee892edbb760f6ce687d74ba5.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a35a0cac6f45.jpg,dataset_processed/test/AvulsionFracture/00003_13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a35a0cac6f45.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a3e1e25a0cac6f45.jpg,dataset_processed/test/AvulsionFracture/00004_13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a3e1e25a0cac6f45.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/1b62e6fbfbc5a2f70c6af413189cfc82_jpg.rf.2761e933cc6d206308877cccaf0642b2.jpg,dataset_processed/test/AvulsionFracture/00005_1b62e6fbfbc5a2f70c6af413189cfc82_jpg.rf.2761e933cc6d206308877cccaf0642b2.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/220px-Avulsion_fracture_of_tibial_tuberosity2C_annotated_jpg.rf.aac7ac1f6ad2f7a822ee729f39b750af.jpg,dataset_processed/test/AvulsionFracture/00006_220px-Avulsion_fracture_of_tibial_tuberosity2C_annotated_jpg.rf.aac7ac1f6ad2f7a822ee729f39b750af.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/31446tn_jpg.rf.fd1466bd9c9a7d604dc3e782f87b84d6.jpg,dataset_processed/test/AvulsionFracture/00007_31446tn_jpg.rf.fd1466bd9c9a7d604dc3e782f87b84d6.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/389382_jpg.rf.8cb98ee798766a2d3f6a76279ba5d0d9.jpg,dataset_processed/test/AvulsionFracture/00008_389382_jpg.rf.8cb98ee798766a2d3f6a76279ba5d0d9.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/5c7fec45769db28bdd107336f19004336689a4fb804b37af3096741f2879ff02_jumbo_jpeg.rf.68a4d14a09ed5baf1f8e1c1957ee5a01.jpg,dataset_processed/test/AvulsionFracture/00009_5c7fec45769db28bdd107336f19004336689a4fb804b37af3096741f2879ff02_jumbo_jpeg.rf.68a4d14a09ed5baf1f8e1c1957ee5a01.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/60683ca7a8a5848feda86d15_acl-avulsion-fracture-1_jpg.rf.17e17d797643e92164cc9825dc530399.jpg,dataset_processed/test/AvulsionFracture/00010_60683ca7a8a5848feda86d15_acl-avulsion-fracture-1_jpg.rf.17e17d797643e92164cc9825dc530399.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/9896089d1b31b0ba0158dc33122899_jumbo_jpeg.rf.d5e6b871460129728d2506e55476d496.jpg,dataset_processed/test/AvulsionFracture/00011_9896089d1b31b0ba0158dc33122899_jumbo_jpeg.rf.d5e6b871460129728d2506e55476d496.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/9dcddacffaff8689cc1e9cedbe76a5_jumbo_jpeg.rf.7259a238161cf03dca23a3dd5369e0b1.jpg,dataset_processed/test/AvulsionFracture/00012_9dcddacffaff8689cc1e9cedbe76a5_jumbo_jpeg.rf.7259a238161cf03dca23a3dd5369e0b1.png,AvulsionFracture,test,True
dataset/AvulsionFracture/Test/avulsionlessertrochanter01jakpelvis15yo_jpg.rf.075c733923f27bd4611acf064a41a4e3.jpg,dataset_processed/test/AvulsionFracture/00013_avulsionlessertrochanter01jakpelvis15yo_jpg.rf.075c733923f27bd4611acf064a41a4e3.png,AvulsionFracture,test,True
dataset/ComminutedFracture/Test/IMG-0001-00001_jumbo_jpeg.rf.4af5e7c047bac2007869a5e19663eb77.jpg,dataset_processed/test/ComminutedFracture/00014_IMG-0001-00001_jumbo_jpeg.rf.4af5e7c047bac2007869a5e19663eb77.png,ComminutedFracture,test,True
dataset/ComminutedFracture/Test/Picture1_jpg.rf.8f2419c6c065392dfad896e83f29f0cf.jpg,dataset_processed/test/ComminutedFracture/00015_Picture1_jpg.rf.8f2419c6c065392dfad896e83f29f0cf.png,ComminutedFracture,test,True
dataset/ComminutedFracture/Test/Radiograph-showing-a-comminuted-fracture-of-the-middle-third-of-the-right-femur-in-a_png.rf.ade9ed22124189b5d0f8cd51b03033e2.jpg,dataset_processed/test/ComminutedFracture/00016_Radiograph-showing-a-comminuted-fracture-of-the-middle-third-of-the-right-femur-in-a_png.rf.ade9ed22124189b5d0f8cd51b03033e2.png,ComminutedFracture,test,True
dataset/ComminutedFracture/Test/T1507F01_Fig03B_jpg.rf.ca5bf37cc498403dd7bc84931bda4253.jpg,dataset_processed/test/ComminutedFracture/00017_T1507F01_Fig03B_jpg.rf.ca5bf37cc498403dd7bc84931bda4253.png,ComminutedFracture,test,True
dataset/ComminutedFracture/Test/X-ray-2-comminuted-displaced-fracture_png.rf.ace79e6f0ec1e6ec4037943cc83c14d4.jpg,dataset_processed/test/ComminutedFracture/00018_X-ray-2-comminuted-displaced-fracture_png.rf.ace79e6f0ec1e6ec4037943cc83c14d4.png,ComminutedFracture,test,True
